replication,day,station,m3_in,m3_out,batches_processed
0,65,drymill,43.718,41.811,3
0,65,impregnado,13.094,12.949,1
0,65,secado,60.83,58.289,4
0,66,aserradero,120.872,59.853,4
0,66,bano,30.676000000000002,30.114,2
0,66,drymill,44.255,42.184,3
0,66,impregnado,13.234,13.136,1
0,66,secado,29.607,28.783,2
0,67,aserradero,150.53,74.834,5
0,67,bano,28.131999999999998,27.851,2
0,67,drymill,42.575,39.76,2
0,67,impregnado,13.866,13.602,1
0,67,secado,42.856,41.531,3
0,68,aserradero,150.659,75.317,5
0,68,bano,44.411,44.201,3
0,68,drymill,42.2,40.306,2
0,68,secado,44.171,42.819,3
0,69,aserradero,32.204,15.915,1
0,70,aserradero,153.605,75.98,5
0,70,bano,29.935,29.477,2
0,70,drymill,28.732,27.641,2
0,70,secado,44.513999999999996,43.116,3
0,71,aserradero,152.731,77.001,5
0,71,bano,29.18,28.846,2
0,71,drymill,59.91,56.01,3
0,71,impregnado,29.466,29.458,1
0,71,secado,43.754000000000005,42.353,3
0,72,aserradero,149.614,75.593,5
0,72,bano,15.09,14.599,1
0,72,drymill,44.238,42.076,3
0,72,impregnado,28.856,28.814,2
0,72,secado,43.875,42.79,3
0,73,aserradero,146.561,73.11,5
0,73,bano,43.152,42.694,3
0,73,drymill,43.934,41.976,3
0,73,impregnado,13.885,13.509,1
0,73,secado,42.428,41.813,3
0,74,aserradero,154.465,77.693,5
0,74,bano,14.952,14.459,1
0,74,drymill,73.652,69.833,5
0,74,impregnado,26.104999999999997,25.9,2
0,74,secado,74.352,72.385,5
0,75,aserradero,150.314,74.609,5
0,75,bano,28.052999999999997,27.717,2
0,75,drymill,42.565,40.147,3
0,75,impregnado,13.597,13.424,1
0,75,secado,45.087,43.501999999999995,3
0,76,aserradero,29.477,14.821,1
0,77,aserradero,153.855,76.722,5
0,77,bano,44.833,44.222,3
0,77,drymill,14.221,13.828,1
0,77,secado,29.935000000000002,29.473,2
0,78,aserradero,148.861,75.488,5
0,78,bano,46.572,46.38,3
0,78,drymill,43.324,41.049,3
0,78,impregnado,28.191000000000003,27.616,2
0,78,secado,29.971,29.299,2
0,79,aserradero,181.964,91.264,6
0,79,drymill,73.672,70.592,4
0,79,secado,92.313,89.12,6
0,80,aserradero,152.457,76.007,5
0,80,bano,44.125,43.687,3
0,80,drymill,57.518,54.935,3
0,80,impregnado,13.957,13.506,1
0,80,secado,46.123,44.504000000000005,3
0,81,aserradero,181.362,90.968,6
0,81,bano,29.810000000000002,29.726,2
0,81,drymill,30.2,28.233,2
0,81,secado,44.164,42.82,3
0,82,aserradero,117.48400000000001,58.267,4
0,82,bano,46.535,46.42,3
0,82,drymill,41.908,39.437,2
0,82,secado,30.128,29.064,2
0,83,aserradero,27.977,14.024,1
0,83,secado,14.548,13.908,1
0,84,aserradero,123.362,60.954,4
0,84,bano,16.044,16.044,1
0,84,drymill,43.265,41.934,3
0,84,impregnado,14.774,14.774,1
0,84,secado,42.906,41.751,3
0,85,aserradero,150.117,74.568,5
0,85,bano,15.007,14.995,1
0,85,drymill,57.504999999999995,55.214,4
0,85,impregnado,28.351,27.944000000000003,2
0,85,secado,45.599,44.51,3
0,86,aserradero,122.156,60.967,4
0,86,drymill,56.475,53.266,4
0,86,impregnado,27.674,26.814,2
0,86,secado,73.527,71.401,5
0,87,aserradero,149.274,73.947,5
0,87,bano,46.013999999999996,45.237,3
0,87,drymill,29.901,27.874000000000002,2
0,87,secado,15.029,14.582,1
0,88,aserradero,181.724,90.935,6
0,88,bano,14.269,14.083,1
0,88,drymill,59.316,56.013000000000005,4
0,88,impregnado,27.026,26.756999999999998,2
0,88,secado,60.001,57.509,4
0,89,aserradero,120.261,58.97,4
0,89,drymill,72.734,69.111,4
0,89,secado,75.09100000000001,72.355,5
0,90,aserradero,27.94,14.172,1
0,90,secado,15.357,14.556,1
0,91,aserradero,118.219,58.972,4
0,91,bano,29.548000000000002,29.279,2
0,91,drymill,45.119,42.61,3
0,91,impregnado,39.615,39.0,3
0,91,secado,46.685,46.279,3
0,92,aserradero,147.744,74.229,5
0,92,bano,14.09,13.936,1
0,92,drymill,56.724000000000004,54.562,4
0,92,impregnado,41.055,40.081,3
0,92,secado,44.111000000000004,43.378,3
0,93,aserradero,183.119,90.778,6
0,93,bano,57.934,57.399,4
0,93,drymill,45.912,44.218,3
0,93,impregnado,13.423,13.243,1
0,93,secado,44.37,42.862,3
0,94,aserradero,182.816,91.56,6
0,94,bano,29.124000000000002,28.542,2
0,94,drymill,58.208,55.589,4
0,94,impregnado,42.677,42.444,3
0,94,secado,59.265,56.995,4
0,95,aserradero,87.73599999999999,43.79,3
0,95,drymill,30.201999999999998,28.619,2
0,95,impregnado,13.918,13.886,1
0,95,secado,42.854,41.688,3
0,96,aserradero,90.68299999999999,44.897,3
0,96,drymill,56.489000000000004,53.926,4
0,96,impregnado,28.412,28.183,2
0,96,secado,45.99,44.781,3
0,97,aserradero,31.291,16.035,1
0,97,secado,14.447,13.685,1
0,98,aserradero,153.442,76.527,5
0,98,bano,30.648,29.865000000000002,2
0,98,drymill,44.785,42.273,3
0,98,impregnado,13.105,13.105,1
0,98,secado,29.337,28.323999999999998,2
0,99,aserradero,117.184,58.918,4
0,99,bano,29.032,28.845,2
0,99,drymill,28.485,27.035,2
0,99,impregnado,13.15,12.726,1
0,99,secado,30.194,29.261,2
0,100,aserradero,174.141,87.714,6
0,100,drymill,42.681,40.781,2
0,100,impregnado,14.799,14.388,1
0,100,secado,73.371,71.55,4
0,101,aserradero,88.5,44.376999999999995,3
0,101,bano,15.718,15.494,1
0,101,drymill,84.106,79.657,4
0,101,impregnado,28.057000000000002,27.250999999999998,2
0,101,secado,60.591,58.385000000000005,3
0,102,aserradero,179.045,90.27199999999999,6
0,102,drymill,56.19,53.564,4
0,102,impregnado,13.313,13.218,1
0,102,secado,59.741,58.486000000000004,4
0,103,aserradero,147.598,74.398,5
0,103,bano,14.275,14.103,1
0,103,drymill,73.469,70.17699999999999,5
0,103,secado,73.60900000000001,72.196,5
0,104,secado,15.946,15.634,1
0,105,aserradero,146.195,73.412,5
0,105,bano,56.891000000000005,55.586,4
0,105,drymill,29.436999999999998,27.655,2
0,105,impregnado,28.094,27.759,2
0,105,secado,15.839,15.66,1
0,106,aserradero,146.498,73.291,5
0,106,bano,15.569,15.569,1
0,106,drymill,27.72,26.805,2
0,106,secado,44.581,42.588,3
0,107,aserradero,178.583,89.713,6
0,107,bano,44.063,43.077,3
0,107,drymill,74.44,70.258,5
0,107,impregnado,13.909,13.909,1
0,107,secado,59.865,57.979,4
0,108,aserradero,182.935,91.773,6
0,108,bano,46.499,45.885999999999996,3
0,108,drymill,28.672,26.662,2
0,108,secado,28.514,27.401,2
0,109,aserradero,150.048,74.236,5
0,109,bano,43.982,43.758,3
0,109,drymill,45.799,44.064,3
0,109,impregnado,13.06,12.909,1
0,109,secado,44.637,42.743,3
0,110,aserradero,88.02199999999999,44.582,3
0,110,bano,14.118,14.118,1
0,110,drymill,14.172,13.436,1
0,110,secado,15.63,15.424,1
0,112,aserradero,119.50399999999999,59.471999999999994,4
0,112,bano,13.914,13.914,1
0,112,drymill,45.339,43.042,3
0,112,impregnado,14.283,14.021,1
0,112,secado,44.789,43.762,3
0,113,aserradero,145.964,72.443,5
0,113,bano,14.505,14.274,1
0,113,drymill,71.214,68.19200000000001,4
0,113,impregnado,39.447,38.572,3
0,113,secado,75.128,73.396,5
0,114,aserradero,153.812,76.195,5
0,114,bano,14.648,14.332,1
0,114,drymill,44.042,41.759,3
0,114,impregnado,13.252,13.252,1
0,114,secado,60.418,58.369,4
0,115,aserradero,176.077,88.168,6
0,115,bano,15.568,15.316,1
0,115,drymill,42.985,41.185,3
0,115,impregnado,14.376,14.376,1
0,115,secado,29.336,29.055999999999997,2
0,116,aserradero,178.775,88.934,6
0,116,bano,60.202,59.657,4
0,116,drymill,69.414,66.127,4
0,116,impregnado,43.847,43.723000000000006,2
0,116,secado,75.99,73.184,4
0,117,aserradero,172.768,85.976,6
0,117,bano,45.157,44.468,3
0,117,drymill,15.475,14.965,1
0,117,secado,28.576999999999998,27.628,2
0,119,aserradero,121.398,60.816,4
0,119,bano,46.938,46.579,3
0,119,drymill,28.572,27.251,2
0,119,impregnado,13.019,13.019,1
0,119,secado,16.072,15.58,1
0,120,aserradero,177.986,89.115,6
0,120,bano,14.266,13.869,1
0,120,drymill,74.278,70.804,5
0,120,impregnado,13.339,13.037,1
0,120,secado,74.482,72.92699999999999,5
0,121,aserradero,152.987,77.13199999999999,5
0,121,drymill,45.037,42.128,3
0,121,impregnado,28.139,27.744,2
0,121,secado,59.931,58.174,4
0,122,aserradero,146.926,73.401,5
0,122,bano,14.636,14.372,1
0,122,drymill,71.638,67.929,4
0,122,secado,76.242,74.564,5
0,123,aserradero,148.076,74.383,5
0,123,bano,15.313,15.021,1
0,123,drymill,73.51,69.48599999999999,4
0,123,impregnado,27.131,26.820999999999998,2
0,123,secado,75.297,73.158,5
0,124,aserradero,183.108,91.071,6
0,124,drymill,73.024,69.461,5
0,124,impregnado,14.391,14.187,1
0,124,secado,74.14,71.486,5
0,126,aserradero,88.606,44.122,3
0,126,bano,14.095,13.955,1
0,126,drymill,41.751,39.45,3
0,126,impregnado,27.266,26.816,2
0,126,secado,31.464,30.616,2
0,127,aserradero,181.183,90.281,6
0,127,bano,14.762,14.351,1
0,127,drymill,75.431,71.644,5
0,127,impregnado,29.237000000000002,28.732,2
0,127,secado,73.491,71.012,5
0,128,aserradero,153.585,76.785,5
0,128,bano,29.735,29.368000000000002,2
0,128,drymill,28.874000000000002,27.391,2
0,128,secado,43.378,41.342,3
0,129,aserradero,150.321,75.023,5
0,129,bano,15.97,15.885,1
0,129,drymill,58.717,56.027,4
0,129,impregnado,14.444,14.02,1
0,129,secado,58.516,57.467,4
0,130,aserradero,175.905,88.42699999999999,6
0,130,bano,14.498,14.498,1
0,130,drymill,72.774,69.011,4
0,130,impregnado,40.794,40.188,2
0,130,secado,58.358000000000004,57.17,4
0,131,aserradero,151.702,76.425,5
0,131,bano,29.531,29.233,2
0,131,drymill,44.855000000000004,42.685,3
0,131,secado,43.93,42.650999999999996,3
0,132,secado,31.773,30.33,2
0,133,aserradero,149.35,75.023,5
0,133,drymill,70.773,67.27,4
0,133,impregnado,38.893,38.893,2
0,133,secado,45.313,44.436,3
0,134,aserradero,85.99600000000001,42.698,3
0,134,bano,47.283,46.561,3
0,134,drymill,29.113,27.283,2
0,134,impregnado,12.983,12.568,1
0,134,secado,29.234,28.691,2
0,135,aserradero,179.739,89.68,6
0,135,bano,31.612000000000002,31.240000000000002,2
0,135,drymill,29.664,28.281,2
0,135,secado,30.494,29.560000000000002,2
0,136,aserradero,120.687,60.929,4
0,136,bano,30.769,30.765,2
0,136,drymill,43.61,41.31,3
0,136,impregnado,13.68,13.673,1
0,136,secado,44.872,43.702,3
0,137,aserradero,183.873,91.444,6
0,137,drymill,73.8,70.354,5
0,137,impregnado,28.705,28.569,2
0,137,secado,89.876,87.667,6
0,138,aserradero,147.835,73.203,5
0,138,bano,30.037,29.608,2
0,138,drymill,72.806,68.514,4
0,138,secado,58.048,56.389,4
0,139,aserradero,29.832,15.025,1
0,139,secado,14.342,13.849,1
0,140,aserradero,121.402,61.134,4
0,140,bano,14.016,13.621,1
0,140,drymill,28.43,26.872,2
0,140,impregnado,12.802,12.617,1
0,140,secado,30.259999999999998,29.704,2
0,141,aserradero,181.80700000000002,90.477,6
0,141,bano,15.622,15.622,1
0,141,drymill,69.185,64.499,4
0,141,impregnado,41.662,41.254,2
0,141,secado,74.899,72.785,5
0,142,aserradero,87.229,43.468,3
0,142,bano,14.727,14.421,1
0,142,drymill,57.028999999999996,54.715,4
0,142,impregnado,13.496,13.247,1
0,142,secado,45.337,44.424,3
0,143,aserradero,180.215,89.778,6
0,143,drymill,43.041000000000004,40.81,3
0,143,impregnado,41.397,41.397,3
0,143,secado,61.677,59.847,4
0,144,aserradero,149.462,75.208,5
0,144,bano,30.1,30.009,2
0,144,drymill,85.667,80.723,6
0,144,impregnado,13.347,13.347,1
0,144,secado,76.374,74.32900000000001,5
0,145,aserradero,145.107,71.954,5
0,145,bano,15.36,14.855,1
0,145,drymill,28.512999999999998,26.996000000000002,2
0,145,impregnado,13.215,12.873,1
0,145,secado,46.235,44.454,3
0,146,aserradero,28.976,14.193,1
0,146,drymill,15.093,14.69,1
0,146,secado,14.045,13.425,1
0,147,aserradero,150.962,75.503,5
0,147,bano,30.326999999999998,30.237000000000002,2
0,147,drymill,56.213,53.155,4
0,147,secado,60.492,59.302,4
0,148,aserradero,152.837,76.295,5
0,148,drymill,72.2,68.691,4
0,148,impregnado,13.859,13.59,1
0,148,secado,58.9,57.959,4
0,149,aserradero,206.437,102.956,7
0,149,bano,14.296,13.981,1
0,149,drymill,57.653999999999996,55.384,3
0,149,impregnado,14.689,14.689,1
0,149,secado,91.513,89.259,5
0,150,aserradero,181.109,91.428,6
0,150,bano,29.883,29.394,2
0,150,drymill,99.718,95.118,6
0,150,impregnado,13.987,13.987,1
0,150,secado,74.45400000000001,72.876,5
0,151,aserradero,181.244,90.812,6
0,151,bano,46.30499999999999,45.491,3
0,151,drymill,30.01,28.768,2
0,151,secado,30.698999999999998,29.857,2
0,152,aserradero,122.114,60.292,4
0,152,bano,14.069,13.94,1
0,152,drymill,45.56,42.652,3
0,152,impregnado,13.672,13.342,1
0,152,secado,45.664,43.717,3
0,153,secado,15.146,14.686,1
0,154,aserradero,152.805,76.809,5
0,154,bano,14.543,14.081,1
0,154,drymill,42.2,40.035,3
0,154,impregnado,12.794,12.449,1
0,154,secado,45.004,43.584,3
0,155,aserradero,149.229,74.751,5
0,155,bano,30.401,29.936,2
0,155,drymill,59.814,56.405,3
0,155,secado,47.309,45.716,3
0,156,aserradero,156.21,77.612,5
0,156,bano,15.225,15.225,1
0,156,drymill,42.825,40.036,2
0,156,impregnado,13.346,13.324,1
0,156,secado,43.004,40.951,3
0,157,aserradero,123.9,62.143,4
0,157,bano,15.047,14.593,1
0,157,drymill,72.836,69.413,4
0,157,impregnado,53.118,52.522,3
0,157,secado,74.271,71.57,5
0,158,aserradero,153.117,75.73,5
0,158,drymill,59.686,56.09,4
0,158,impregnado,12.817,12.415,1
0,158,secado,60.884,59.124,4
0,159,aserradero,122.81700000000001,60.521,4
0,159,bano,15.191,14.678,1
0,159,drymill,45.248999999999995,42.841,3
0,159,impregnado,27.489,26.975,2
0,159,secado,45.038,43.616,3
0,160,secado,15.553,15.111,1
0,161,aserradero,89.201,45.163,3
0,161,bano,14.2,13.719,1
0,161,drymill,42.524,40.176,3
0,161,impregnado,14.768,14.644,1
0,161,secado,29.653,28.641,2
0,162,aserradero,180.331,90.612,6
0,162,bano,15.046,14.96,1
0,162,drymill,43.364,40.741,3
0,162,impregnado,41.577,40.916,3
0,162,secado,44.402,43.007,3
0,163,bano,15.8,15.8,1
0,163,drymill,15.444,15.009,1
0,163,impregnado,13.033,13.033,1
0,163,secado,14.935,14.391,1
0,164,aserradero,150.747,75.858,5
0,164,bano,29.509999999999998,29.509999999999998,2
0,164,drymill,27.98,26.356,2
0,164,impregnado,14.651,14.651,1
0,164,secado,30.268,29.52,2
0,165,aserradero,177.212,88.121,6
0,165,drymill,70.961,68.278,4
0,165,impregnado,42.013999999999996,41.837,3
0,165,secado,76.481,74.093,5
0,166,aserradero,115.689,58.509,4
0,166,bano,15.116,15.116,1
0,166,drymill,58.187,56.03,3
0,166,impregnado,27.139000000000003,26.713,2
0,166,secado,61.602999999999994,59.703,4
0,167,aserradero,30.154,15.356,1
0,167,bano,15.151,14.88,1
0,167,secado,13.888,13.502,1
0,168,aserradero,155.209,77.22200000000001,5
0,168,bano,14.045,13.719,1
0,168,drymill,44.371,42.118,3
0,168,impregnado,12.902,12.902,1
0,168,secado,29.84,29.069,2
0,169,aserradero,148.226,73.964,5
0,169,bano,29.391,28.956000000000003,2
0,169,drymill,57.972,55.311,3
0,169,impregnado,13.851,13.851,1
0,169,secado,59.832,57.688,4
0,170,aserradero,180.109,89.866,6
0,170,bano,59.629,59.012,4
0,170,drymill,30.215,28.885,2
0,170,impregnado,13.608,13.608,1
0,170,secado,29.926000000000002,28.834000000000003,2
0,171,aserradero,149.547,74.446,5
0,171,bano,44.031,43.751,3
0,171,drymill,28.314999999999998,26.688,2
0,171,impregnado,27.006999999999998,26.497,2
0,171,secado,29.78,28.549,2
0,172,aserradero,121.629,61.022000000000006,4
0,172,bano,14.938,14.851,1
0,172,drymill,58.361000000000004,55.663,4
0,172,impregnado,28.898,28.808,2
0,172,secado,60.699,59.493,4
0,173,aserradero,114.474,57.69,4
0,173,bano,29.416,28.951999999999998,2
0,173,drymill,13.463,13.043,1
0,173,impregnado,13.981,13.981,1
0,173,secado,15.453,14.797,1
0,174,aserradero,29.972,15.355,1
0,174,secado,29.997,28.994,2
0,175,aserradero,116.459,59.438,4
0,175,bano,30.657,29.976,2
0,175,drymill,56.515,53.373,4
0,175,impregnado,13.068,12.743,1
0,175,secado,30.681,29.564,2
0,176,aserradero,180.41,90.431,6
